title,artist,top10,peak_rank,ar1_coef,ma1_coef,ar1_manual,model_aic,mean_streams,std_streams,trend_slope,peak_day,volatility,early_late_ratio,danceability,energy,valence,tempo,acousticness,loudness,speechiness
Fabricando Fantasías - Salsa Version,Tito Nieves,0,141,-0.31880701142283185,-0.9999911602042526,-0.5074401323095431,350.30698826947753,3571.4285714285716,1280.2454590328175,77.49610389610389,3,1914.2012981920163,0.6593203518017864,0.726,0.857,0.928,90.74,0.243,-3.264,0.0424
Faded,Alan Walker,1,7,-0.018062842132447507,-0.9992156543158671,-0.4017905986857188,447.1703887914289,15839.285714285714,13041.13776128615,-451.4272727272721,2,19101.83338425922,1.52969447671011,0.468,0.627,0.159,179.642,0.0281,-5.085,0.0476
Faint,Linkin Park,0,19,-0.904636128186701,0.09674804922382388,-1.0375405797585582,524.4926146492696,44729.666666666664,92576.65250474401,4212.072727272725,20,107340.72802175324,0.4736184923913964,0.554,0.978,0.594,135.095,0.111,-3.554,0.131
Fair Trade (with Travis Scott),Drake,1,1,-0.7195760295978207,-0.26708489330792096,-0.47536585167579637,533.0131471881705,81972.0,92548.9782238881,-5297.477922077926,0,121601.87806850477,1.9719750995778378,0.666,0.465,0.292,167.937,0.0503,-8.545,0.26
Fait Accompli,Ana Diaz,0,48,-0.999943046337112,0.9976826585540165,0.03990960313727853,401.96464762958385,34780.142857142855,7302.40349399536,-945.149350649351,0,4613.288702216673,1.4272333511004394,0.706,0.559,0.234,124.894,0.479,-9.038,0.0575
Faith,Ghost,0,51,-0.27984873604500926,-0.9999999998341326,-0.6286002037493759,315.9309953463017,17958.8,13873.568414795092,-979.6999999999999,3,22407.010821597414,1.0,0.355,0.823,0.229,183.859,0.000519,-6.254,0.0517
Fake Happy,Paramore,0,102,-0.3276058622698366,-0.9999999999975241,-0.4898750830640478,277.0004558875548,93386.54545454546,134989.57127959156,-13245.954545454551,1,216966.10927478975,1.0,0.734,0.626,0.44,98.559,0.076,-5.685,0.0458
Fala Comigo Bebê - Ao Vivo,Os Barões Da Pisadinha,0,87,-0.14261643427583318,0.6738814504273434,0.24577899359311872,470.07164081989066,114315.57142857143,29490.55802338457,-1389.1571428571397,1,28187.07169337567,1.0327102803738317,0.523,0.916,0.861,167.943,0.518,-2.347,0.0419
Fall for You (Acoustic),Secondhand Serenade,0,81,0.1410816248353799,-0.9956783845936545,-0.3725045516666642,312.29428001338124,3191.3809523809523,443.4548858989654,-1.49610389610384,10,574.9612052130126,1.0194856166597406,0.433,0.307,0.378,178.114,0.65,-8.796,0.0327
Fallin for You,Shrey Singhal,0,81,-0.6742221440194612,0.580485315752546,0.21557070990667576,363.683138954941,52365.90476190476,7006.513982103075,1058.1831168831177,15,1771.2913220303428,0.7345148637890526,0.625,0.835,0.547,183.826,0.211,-3.32,0.325
